participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c17,0.377,0,mail carrier,High school diploma or equivalent,0.5,Shrinking,Somewhat unprestigious,High school diploma or equivalent,0.5,Shrinking,Neither prestigious or not
c11,0.236,0.75,announcer,Two year college or vocational degree,0.37,Staying about the same,Somewhat prestigious,Two year college or vocational degree,0.42,Staying about the same,Somewhat prestigious
c30,0.215,1,chef,Professional degree,0.4,Staying about the same,Somewhat prestigious,Two year college or vocational degree,0.4,Staying about the same,Somewhat prestigious
c12,0.814,0,primary school teacher,Four year college degree,0.65,Growing,Somewhat prestigious,Professional degree,0.7,Growing,Somewhat prestigious
c16,0.862,0.25,special ed teacher,Professional degree,0.7,Growing,Somewhat prestigious,Four year college degree,0.8,Growing,Somewhat prestigious
c19,0.126,0.5,police officer,High school diploma or equivalent,0.2,Staying about the same,Somewhat prestigious,High school diploma or equivalent,0.2,Staying about the same,Neither prestigious or not
c34,0.941,1,childcare worker,Four year college degree,0.35,Growing,Somewhat prestigious,Two year college or vocational degree,0.9,Staying about the same,Somewhat prestigious
c11,0.215,0.5,chef,Two year college or vocational degree,0.25,Staying about the same,Somewhat prestigious,High school diploma or equivalent,0.42,Growing,Somewhat prestigious
c35,0.441,0.5,insurance sales agent,High school diploma or equivalent,0.35,Growing,Somewhat unprestigious,Four year college degree,0.37,Growing,Somewhat prestigious
c9,0.013,0.5,plumber,High school diploma or equivalent,0.2,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.15,Staying about the same,Somewhat unprestigious
c30,0.377,0.625,mail carrier,Two year college or vocational degree,0.5,Shrinking,Neither prestigious or not,Four year college degree,0.5,Shrinking,Neither prestigious or not
c12,0.297,0,custodian,High school diploma or equivalent,0.6,Staying about the same,Very unprestigious,High school diploma or equivalent,0.4,Staying about the same,Very unprestigious
c18,0.274,1,chief executive officer,Four year college degree,0.2,Growing,Very prestigious,Professional degree,0.35,Growing,Very prestigious
c11,0.377,0.5,cook,Two year college or vocational degree,0.27,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.16,Staying about the same,Neither prestigious or not
c38,0.596,1,optician,Doctorate,0.45,Staying about the same,Somewhat prestigious,Professional degree,0.45,Growing,Very prestigious
c30,0.297,0.25,custodian,High school diploma or equivalent,0.2,Staying about the same,Very unprestigious,High school diploma or equivalent,0.35,Staying about the same,Very unprestigious
c25,0.503,0.625,telemarketer,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious
c14,0.862,0.125,special ed teacher,Four year college degree,0.85,Growing,Somewhat prestigious,Professional degree,0.65,Growing,Very prestigious
c30,0.503,0.625,telemarketer,High school diploma or equivalent,0.5,Growing,Very unprestigious,High school diploma or equivalent,0.5,Staying about the same,Very unprestigious
c42,0.132,0.125,engineer,Four year college degree,0.5,Staying about the same,Very prestigious,Four year college degree,0.5,Growing,Very prestigious
c43,0.862,0.75,special ed teacher,Two year college or vocational degree,0.8,Staying about the same,Somewhat unprestigious,Four year college degree,0.8,Staying about the same,Neither prestigious or not
c7,0.297,0,custodian,High school diploma or equivalent,0.44,Growing,Neither prestigious or not,Some high school,0.1,Staying about the same,Somewhat unprestigious
c19,0.377,0.75,mail carrier,High school diploma or equivalent,0.37,Shrinking,Neither prestigious or not,High school diploma or equivalent,0.28,Shrinking,Somewhat unprestigious
c18,0.814,0.75,primary school teacher,Four year college degree,0.9,Staying about the same,Neither prestigious or not,Four year college degree,0.9,Staying about the same,Neither prestigious or not
c43,0.297,0.75,custodian,Some high school,0.3,Staying about the same,Very unprestigious,Some high school,0.45,Staying about the same,Very unprestigious
c12,0.537,0.5,pharmacist,Four year college degree,0.3,Growing,Somewhat prestigious,Professional degree,0.4,Growing,Somewhat prestigious
c19,0.941,0,childcare worker,Four year college degree,0.8,Staying about the same,Neither prestigious or not,Four year college degree,0.7,Staying about the same,Neither prestigious or not
c18,0.126,1,police officer,High school diploma or equivalent,0.25,Growing,Somewhat prestigious,High school diploma or equivalent,0.35,Growing,Somewhat prestigious
c30,0.861,0.125,nurse practitioner,Professional degree,0.9,Growing,Somewhat prestigious,Professional degree,0.8,Growing,Somewhat prestigious
c16,0.197,1,software developer,Four year college degree,0.25,Growing,Very prestigious,Four year college degree,0.3,Growing,Very prestigious
c19,0.596,0.5,optician,Four year college degree,0.4,Staying about the same,Somewhat prestigious,Four year college degree,0.62,Staying about the same,Neither prestigious or not
c11,0.442,0.5,chemist,Doctorate,0.34,Staying about the same,Very prestigious,Professional degree,0.45,Growing,Very prestigious
c30,0.728,0,lab tech,Four year college degree,0.4,Staying about the same,Somewhat prestigious,Four year college degree,0.5,Staying about the same,Somewhat prestigious
c43,0.166,0.5,drafter,Four year college degree,0.2,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.25,Staying about the same,Neither prestigious or not
c12,0.728,0.75,lab tech,Four year college degree,0.25,Staying about the same,Neither prestigious or not,Four year college degree,0.35,Growing,Neither prestigious or not
c6,0.166,0.5,drafter,Two year college or vocational degree,0.3,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.5,Staying about the same,Somewhat prestigious
c19,0.041,0.5,pilot,Four year college degree,0.15,Staying about the same,Somewhat prestigious,Four year college degree,0.1,Staying about the same,Somewhat prestigious
c34,0.274,0.25,chief executive officer,Professional degree,0.5,Growing,Very prestigious,Professional degree,0.45,Staying about the same,Very prestigious
c18,0.953,0.5,administrative assistant,High school diploma or equivalent,0.8,Shrinking,Very unprestigious,High school diploma or equivalent,0.8,Staying about the same,Very unprestigious
c30,0.599,0.75,bartender,High school diploma or equivalent,0.45,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.35,Staying about the same,Somewhat unprestigious
c43,0.814,0.25,primary school teacher,Professional degree,0.65,Staying about the same,Neither prestigious or not,Professional degree,0.65,Staying about the same,Neither prestigious or not
c7,0.555,0.625,technical writer,Four year college degree,0.35,Growing,Somewhat prestigious,Two year college or vocational degree,0.65,Growing,Somewhat prestigious
c12,0.442,0.5,chemist,Professional degree,0.15,Staying about the same,Somewhat prestigious,Four year college degree,0.2,Staying about the same,Somewhat prestigious
c19,0.556,0.25,author,Four year college degree,0.5,Growing,Somewhat prestigious,Four year college degree,0.4,Growing,Somewhat prestigious
c17,0.197,0.125,software developer,Professional degree,0.4,Growing,Very prestigious,Four year college degree,0.4,Growing,Somewhat prestigious
c30,0.274,0.125,chief executive officer,Professional degree,0.2,Staying about the same,Very prestigious,Four year college degree,0.2,Staying about the same,Very prestigious
c43,0.728,0.625,lab tech,Four year college degree,0.4,Growing,Somewhat prestigious,Professional degree,0.4,Growing,Somewhat prestigious
c12,0.501,0.5,biologist,Four year college degree,0.05,Staying about the same,Somewhat prestigious,Four year college degree,0.05,Staying about the same,Somewhat prestigious
c16,0.441,1,insurance sales agent,Four year college degree,0.2,Growing,Somewhat prestigious,Four year college degree,0.4,Staying about the same,Neither prestigious or not
c19,0.029,0,construction worker,Some high school,0.01,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.02,Staying about the same,Somewhat unprestigious
c30,0.013,0.5,plumber,Professional degree,0.2,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.2,Staying about the same,Neither prestigious or not
c12,0.861,0.125,nurse practitioner,Professional degree,0.65,Growing,Somewhat prestigious,Professional degree,0.7,Growing,Somewhat prestigious
c19,0.442,0.5,chemist,Four year college degree,0.35,Growing,Somewhat prestigious,Four year college degree,0.2,Staying about the same,Somewhat prestigious
c18,0.599,1,bartender,Two year college or vocational degree,0.4,Growing,Neither prestigious or not,Two year college or vocational degree,0.3,Growing,Somewhat prestigious
c30,0.441,0.5,insurance sales agent,Four year college degree,0.45,Growing,Somewhat prestigious,Four year college degree,0.4,Staying about the same,Neither prestigious or not
c12,0.941,0.875,childcare worker,High school diploma or equivalent,0.95,Growing,Somewhat unprestigious,High school diploma or equivalent,0.85,Staying about the same,Very unprestigious
c16,0.442,0.5,chemist,Doctorate,0.3,Growing,Very prestigious,Four year college degree,0.3,Staying about the same,Very prestigious
c18,0.029,0,construction worker,High school diploma or equivalent,0.2,Growing,Somewhat unprestigious,High school diploma or equivalent,0.2,Growing,Neither prestigious or not
c14,0.881,0.5,housekeeper,High school diploma or equivalent,0.95,Growing,Neither prestigious or not,Two year college or vocational degree,0.8,Staying about the same,Somewhat prestigious
c30,0.377,0.375,cook,High school diploma or equivalent,0.35,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.4,Staying about the same,Somewhat unprestigious
c7,0.501,1,biologist,Professional degree,0.38,Growing,Very prestigious,Professional degree,0.45,Growing,Very prestigious
c16,0.814,0.25,primary school teacher,Four year college degree,0.7,Staying about the same,Neither prestigious or not,Four year college degree,0.8,Staying about the same,Somewhat prestigious
c19,0.225,0.125,computer programmer,Four year college degree,0.3,Growing,Neither prestigious or not,Four year college degree,0.72,Growing,Neither prestigious or not
