turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a37,male,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/15.jpg,man,0.441,0.559,0.476190476,agree,agree,neutral,disagree,disagree,agree,disagree,agree
a128,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/47.jpg,man,0.862,0.138,0.779069767,agree,agree,disagree,disagree,neutral,disagree,strongly disagree,neutral
a38,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/48.jpg,woman,0.455,0.455,0.1875,neutral,neutral,neutral,agree,neutral,disagree,neutral,agree
a6,female,optician,http://homes.cs.washington.edu/~mjskay/aws-images/google/optician/27.jpg,man,0.596,0.404,0.685714286,strongly disagree,agree,strongly disagree,agree,neutral,strongly disagree,neutral,disagree
a37,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/52.jpg,woman,0.054,0.054,0.069444444,agree,neutral,agree,neutral,neutral,disagree,agree,disagree
a40,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/57.jpg,woman,0.029,0.029,0.125,disagree,disagree,neutral,disagree,neutral,disagree,neutral,agree
a173,female,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/51.jpg,woman,0.054,0.054,0.069444444,neutral,strongly disagree,neutral,neutral,neutral,strongly disagree,neutral,strongly disagree
a74,male,author,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/21.jpg,man,0.556,0.444,0.246153846,strongly disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a118,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/6.jpg,man,0.343,0.657,0.301204819,agree,agree,disagree,strongly agree,strongly agree,strongly disagree,agree,strongly disagree
a129,male,receptionist,http://homes.cs.washington.edu/~mjskay/aws-images/google/receptionist/1.jpg,woman,0.915,0.915,0.962962963,strongly agree,strongly disagree,agree,strongly agree,neutral,strongly disagree,strongly agree,strongly disagree
a59,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/51.jpg,man,0.861,0.139,0.846153846,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a118,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/48.jpg,woman,0.599,0.599,0.234042553,agree,agree,agree,agree,agree,strongly disagree,agree,strongly disagree
a11,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/19.jpg,man,0.455,0.545,0.1875,neutral,strongly disagree,strongly disagree,neutral,agree,disagree,neutral,strongly disagree
a44,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,man,0.297,0.703,0.15625,disagree,strongly disagree,strongly disagree,neutral,agree,strongly disagree,neutral,agree
a138,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/55.jpg,man,0.862,0.138,0.779069767,neutral,strongly disagree,strongly disagree,neutral,neutral,strongly disagree,neutral,strongly disagree
a22,male,truck driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/truck driver/7.jpg,man,0.054,0.946,0.069444444,strongly disagree,strongly disagree,strongly disagree,neutral,neutral,disagree,neutral,disagree
