occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
Veterinarians,85000,54.7,1.9,1.3,6.1,FALSE,TRUE,FALSE,veterinarians,FALSE,FALSE
Registered nurses,2875000,90.6,11.5,7.3,6.2,FALSE,TRUE,FALSE,nurse,FALSE,FALSE
Nurse anesthetists,27000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Nurse midwives,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Nurse practitioners,103000,86.1,4.5,4.6,2.9,FALSE,TRUE,FALSE,nurse practitioner,FALSE,FALSE
"Health diagnosing and treating practitioners, all other",23000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Clinical laboratory technologists and technicians,319000,72.8,13.5,14,10.7,FALSE,TRUE,FALSE,lab tech,FALSE,FALSE
Dental hygienists,163000,99.3,3.3,5.6,8.1,FALSE,TRUE,FALSE,dental hygienist,FALSE,FALSE
Diagnostic related technologists and technicians,308000,74.5,9,4.1,7.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Emergency medical technicians and paramedics,172000,31.2,5,1.6,8.1,FALSE,TRUE,FALSE,paramedic,FALSE,FALSE
Health practitioner support technologists and technicians,544000,83.6,15.8,5.9,12.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Licensed practical and licensed vocational nurses,531000,94.2,23.3,5.1,9.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Medical records and health information technicians,90000,89.3,17.1,4.3,15.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Opticians, dispensing",54000,59.6,8.2,3.8,4.1,FALSE,TRUE,FALSE,optician,FALSE,FALSE
Miscellaneous health technologists and technicians,140000,60.2,18.7,11,10,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Other healthcare practitioners and technical occupations,75000,50.3,8.8,3.1,5.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Nursing, psychiatric, and home health aides",2119000,87.9,34.5,4.6,14.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Occupational therapy assistants and aides,18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Physical therapist assistants and aides,66000,66.4,14.7,3.6,5.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Massage therapists,158000,81.5,5.4,7.7,12,FALSE,TRUE,FALSE,massage therapist,FALSE,FALSE
